
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:554            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:2869           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5432           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:10243          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:17500          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:33060          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:45769          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49707          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:57621          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:63967          0.0.0.0:0              LISTENING
  TCP    127.0.0.1:843          0.0.0.0:0              LISTENING
  TCP    127.0.0.1:1337         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:1434         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:3213         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:4000         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:5939         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:6463         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:8884         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:9010         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:9010         127.0.0.1:63747        ESTABLISHED
  TCP    127.0.0.1:9010         127.0.0.1:63969        ESTABLISHED
  TCP    127.0.0.1:9080         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:9100         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:9100         127.0.0.1:63752        ESTABLISHED
  TCP    127.0.0.1:9180         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:9993         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:9993         127.0.0.1:61125        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61126        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61137        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61138        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61144        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61145        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61150        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61151        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61154        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61155        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61158        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61159        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61164        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61165        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61167        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61168        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61176        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61177        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61181        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61182        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61191        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61192        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61195        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61196        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61199        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61200        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61202        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61203        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61205        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61206        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61209        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61210        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61212        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61213        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61216        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61217        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61220        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61221        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61225        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61226        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61240        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61241        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61249        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61250        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61282        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61283        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61285        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61286        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61289        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61290        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61292        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61293        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61298        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61299        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61302        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61303        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61305        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61306        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61309        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61310        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61313        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61314        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61316        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61317        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61319        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61320        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61325        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61326        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61328        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61329        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61332        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61333        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61336        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61337        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61339        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61340        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61345        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61346        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61349        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61350        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61352        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61353        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61356        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61357        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61360        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61361        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61363        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61364        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61369        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61370        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61373        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61374        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61376        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61377        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61380        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61381        TIME_WAIT
  TCP    127.0.0.1:9993         127.0.0.1:61384        TIME_WAIT
